canonical_name,cpt_code,code_system,category,cost_tier,used_in_protocols,protocol_ids,raw_names_from_protocols,vocabulary_aliases,has_cpt,needs_attention
Nasal Swab,87635,CPT,Laboratory,LOW,4,p14; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,Nasopharyngeal swab; Nasopharyngeal swab5; Nasopharyngeal swab8; Obtain nasal (midturbinate) swab; Obtain nasal (midturbinate) swab (self-swab at home or by site staff at an in-person visit),"nasal swab, nasal sample, nasal midturbinate, midturbinate swab, nasopharyngeal swab, np swab, nasal specimen, Nasopharyngeal swab5, Nasopharyngeal swab8, Obtain nasal (midturbinate) swab, Obtain nasal (midturbinate) swab(s), Obtain nasal (midturbinate) swab (self-swab at home or by site staff at an in-person visit)",YES,
Neurological examination,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Nonpharmacogenetic samples for storage,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PGA for total Mayo Clinic Score,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PGIC,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,"Patient Global Impression of Change, PGI-C, global impression change, patient global assessment change",NO,MISSING_CPT; UNKNOWN_CATEGORY
PGICj,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PGICt,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PK Sample,,CPT,PK,LOW,2,p09; p17_durvalumab_bb172274,PK sample (serum); PK sample for immunogenicity; PK sample for immunogenicitym,"pk sample, pharmacokinetic sample, pk blood sample, pk sampling, pk blood draw, PK sample for immunogenicity, PK sample for immunogenicitym, PK sample (serum)",NO,MISSING_CPT
PK assessment,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PK assessment^g,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PK assessmentg,,CPT,Unknown,LOW,1,p17_durvalumab,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PK assessments,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PK assessmentsx,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
PRO-CTCAE,,CPT,PRO,LOW,1,p17_durvalumab_bb172274,,"Patient-Reported Outcomes CTCAE, PRO-CTCAE, patient-reported adverse events, CTCAE patient reported",NO,MISSING_CPT
Patient follow-up contact/Patient review for safety,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Pharmacogenetics sample,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Pharmacogenetics samplek,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Pharmacokinetics,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Physical Examination,99213,CPT,General,LOW,6,p01_brivaracetam; p08; p14; p17_durvalumab; p17_durvalumab_bb172274; p_14_690eb522,Physical exam (full); Physical examination; Physical examination (full); Physical examination2; Physical examinationn,"physical exam, physical examination, pe, full physical, complete physical, targeted physical, targeted pe, symptom-directed pe, abbreviated physical, Physical examinationn, Physical examination², Physical examination2, Physical examination (full), Physical exam (full), Targeted physical exam c, Tumor radiological assessments (RECIST 1.1) -AND- Physical exam including a pelvic examination, Tumor radiological assessments (RECIST 1.1)y -AND- Physical exam including a pelvic examination, Tumor radiological assessment (RECIST 1.1) / Physical exam including a pelvic examination, Tumor radiological assessment (RECIST 1.1)k
-AND-
Physical exam including a pelvic examination",YES,
Post-Dose Observation,,CPT,Safety,LOW,2,pfizer_bnt162; prot_0001_1_3a3bae33,"Assess acute reactions for at least 30 minutes after
study intervention administration; Assess acute reactions for at least 30 minutes after study intervention administration","post-dose observation, 30-minute observation, acute reaction monitoring, post-injection observation, assess acute reactions, Assess acute reactions for at least 30 minutes after
study intervention administration, Assess acute reactions for at least 30 minutes after study intervention administration",NO,MISSING_CPT
Pregnancy Test,81025,CPT,Laboratory,LOW,7,p08; p14; p17_durvalumab; p17_durvalumab_bb172274; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,Perform urine pregnancy test (if appropriate); Pregnancy test; Pregnancy testa; Pregnancy testing3; Pregnancy testing³,"pregnancy test, serum pregnancy, urine pregnancy, bhcg, b-hcg, hcg, serum hcg, urine hcg, pregnancy test (serum), pregnancy test (urine), Pregnancy testt, Pregnancy testing³, Pregnancy testing3, Pregnancy testa, Pregnancy testk, Perform urine pregnancy test (if appropriate)",YES,
Quality of Life Questionnaire,,CPT,PRO,LOW,2,p08; p17_durvalumab_bb172274,"EORTC QLQ-C30 and CX24, PGIS, EQ-5D; IBDQ, UC-PRO/SS, SF-36, WPAI-UC, and abdominal pain and urgency NRS","qol, quality of life, eq-5d, eq5d, sf-36, sf36, whoqol, IBDQ, UC-PRO/SS, SF-36, WPAI-UC, and abdominal pain and urgency NRS, EORTC QLQ-C30 and CX24, PGIS, EQ-5D",NO,MISSING_CPT
Radiation plan collection,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Randomization,,General,General,LOW,5,p08; p14; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,Obtain randomization number and study intervention allocation using the IRT system; Obtain the participant's vaccine vial allocation using the IRT system; Obtain vaccine vial allocation via IRT,"randomization, randomisation, treatment assignment, randomize, stratification, Obtain vaccine vial allocation via IRT, Obtain randomization number and study intervention allocation using the IRT system, Obtain the participant's vaccine vial allocation using the IRT system",NO,MISSING_CPT
Reactogenicity Assessment,,CPT,Safety,LOW,1,prot_0001_1_3a3bae33,Provide/ensure the participant has a thermometer (all participants) and measuring device (reactogenicity subset participants only); Review ongoing reactogenicity e-diary symptoms and obtain stop dates; Review reactogenicity e-diary data (daily review is optimal during the active diary period),"reactogenicity, solicited adverse events, solicited ae, local reactions, systemic reactions, reactogenicity assessment, Review ongoing reactogenicity e-diary symptoms and obtain stop dates, Review reactogenicity e-diary data (daily review is optimal during the active diary period), Provide/ensure the participant has a thermometer (all participants) and measuring device (reactogenicity subset participants only)",NO,MISSING_CPT
Recording of seizures,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Recording of unsolicited AEs10,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Respiratory illness sample5,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Saliva sample,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
SoC cisplatin chemotherapy,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
SoC radiation therapy,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Spirometry,94010,CPT,Respiratory,MEDIUM,1,p08,Pulmonary function test; Pulmonary function testp,"spirometry, pulmonary function, pft, lung function, pulmonary function test, fev1, fvc, Pulmonary function testp",YES,
Stool frequency and rectal bleeding subscore,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Stool frequency and rectal bleeding subscore^i,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Stool sample for microbiome,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Stool sample/fecal calprotectinv,,CPT,Unknown,LOW,1,p08,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Study Drug Administration,,CPT,Treatment,MEDIUM,6,p08; p14; p17_durvalumab_bb172274; p_14_690eb522; pfizer_bnt162; prot_0001_1_3a3bae33,Administer BNT162b2; Administer BNT162b2SA; Administer study intervention; Dosing; IP administration,"study drug, ip administration, investigational product, drug administration, dosing, study drug administration, imp administration, study treatment, Study treatment administration, Study treatment administrationbb, Study injection (including 30-minute post-dosing observation period), Study injection (including 30-minute post-dosing observation period6), Study injection (including 30-minute post-dosing observation period5), Study injection (including 30-minute post-dosing observation period⁵), Administer BNT162b2, Administer study intervention, Administer BNT162b2SA",NO,MISSING_CPT
Study Visit,,CPT,Unknown,LOW,1,p09,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Study Visit Day,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Study Visit Day / Assessment,,CPT,Unknown,LOW,1,p14,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Subject identification card dispensing,,CPT,Unknown,LOW,1,p01_brivaracetam,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Subsequent anticancer therapy,,CPT,Unknown,LOW,1,p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
"Subsequent anticancer therapyc,d",,CPT,Unknown,LOW,2,p17_durvalumab; p17_durvalumab_bb172274,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Supplemental Schedule of Events: Open-Label Days 1-57,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Supplemental Schedule of Events: Open-Label Days 1-57 (Table 21)c,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Supplemental Schedule of Events: Open-Label Days 1-57 (Table 21)ᶜ,,CPT,Unknown,LOW,1,p14,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Surveillance for COVID-19/Unscheduled Visit4,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Surveillance for COVID-19/Unscheduled Visit6,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Surveillance for COVID-19/Unscheduled Visit7,,CPT,Unknown,LOW,2,p14; p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
Surveillance for COVID-19/Unscheduled Visit³,,CPT,Unknown,LOW,1,p_14_690eb522,,,NO,MISSING_CPT; UNKNOWN_CATEGORY
